code,name,city,country,lat,lon
GKA,Goroka,Goroka,Papua New Guinea,-6.081689,145.391881
MAG,Madang,Madang,Papua New Guinea,-5.207083,145.7887
HGU,Mount Hagen,Mount Hagen,Papua New Guinea,-5.826789,144.295861
LAE,Nadzab,Nadzab,Papua New Guinea,-6.569828,146.726242
POM,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,-9.443383,147.22005
WWK,Wewak Intl,Wewak,Papua New Guinea,-3.583828,143.669186
UAK,Narsarsuaq,Narssarssuaq,Greenland,61.160517,-45.425978
GOH,Nuuk,Godthaab,Greenland,64.190922,-51.678064
SFJ,Sondre Stromfjord,Sondrestrom,Greenland,67.016969,-50.689325
THU,Thule Air Base,Thule,Greenland,76.531203,-68.703161
AEY,Akureyri,Akureyri,Iceland,65.659994,-18.072703
EGS,Egilsstadir,Egilsstadir,Iceland,65.283333,-14.401389
HFN,Hornafjordur,Hofn,Iceland,64.295556,-15.227222
HZK,Husavik,Husavik,Iceland,65.952328,-17.425978
IFJ,Isafjordur,Isafjordur,Iceland,66.058056,-23.135278
KEF,Keflavik International Airport,Keflavik,Iceland,63.985,-22.605556
PFJ,Patreksfjordur,Patreksfjordur,Iceland,65.555833,-23.965
RKV,Reykjavik,Reykjavik,Iceland,64.13,-21.940556
SIJ,Siglufjordur,Siglufjordur,Iceland,66.133333,-18.916667
VEY,Vestmannaeyjar,Vestmannaeyjar,Iceland,63.424303,-20.278875
YAM,Sault Ste Marie,Sault Sainte Marie,Canada,46.485001,-84.509445
YAV,Winnipeg St Andrews,Winnipeg,Canada,50.056389,-97.0325
YAW,Shearwater,Halifax,Canada,44.639721,-63.499444
YAY,St Anthony,St. Anthony,Canada,51.391944,-56.083056
YAZ,Tofino,Tofino,Canada,49.082222,-125.7725
YBB,Kugaaruk,Pelly Bay,Canada,68.534444,-89.808056
YBC,Baie Comeau,Baie Comeau,Canada,49.1325,-68.204444
YBG,Bagotville,Bagotville,Canada,48.330555,-70.996391
YBK,Baker Lake,Baker Lake,Canada,64.298889,-96.077778
YBL,Campbell River,Campbell River,Canada,49.950832,-125.270833
YBR,Brandon Muni,Brandon,Canada,49.91,-99.951944
YCB,Cambridge Bay,Cambridge Bay,Canada,69.108055,-105.138333
YCD,Nanaimo,Nanaimo,Canada,49.052333,-123.870167
YCG,Castlegar,Castlegar,Canada,49.296389,-117.6325
YCH,Miramichi,Chatham,Canada,47.007778,-65.449167
YCL,Charlo,Charlo,Canada,47.990833,-66.330278
YCO,Kugluktuk,Coppermine,Canada,67.816667,-115.143889
YCT,Coronation,Coronation,Canada,52.075001,-111.445278
YCW,Chilliwack,Chilliwack,Canada,49.152779,-121.93889
YCY,Clyde River,Clyde River,Canada,70.486111,-68.516667
YZS,Fairmont Hot Springs,Coral Harbour,Canada,64.193333,-83.359444
YDA,Dawson City,Dawson,Canada,64.043056,-139.127778
YDB,Burwash,Burwash,Canada,61.371111,-139.040556
YDC,Princeton,Princeton,Canada,49.468056,-120.511389
YDF,Deer Lake,Deer Lake,Canada,49.210833,-57.391388
YDL,Dease Lake,Dease Lake,Canada,58.422222,-130.032222
YDN,Dauphin Barker,Dauphin,Canada,51.100834,-100.0525
YDQ,Dawson Creek,Dawson Creek,Canada,55.742333,-120.183
YEG,Edmonton Intl,Edmonton,Canada,53.309723,-113.579722
YEK,Arviat,Eskimo Point,Canada,61.094166,-94.070833
YEN,Estevan,Estevan,Canada,49.210278,-102.965833
YET,Edson,Edson,Canada,53.578888,-116.465
YEU,Eureka,Eureka,Canada,79.994722,-85.814167
YEV,Inuvik Mike Zubko,Inuvik,Canada,68.304167,-133.482778
YFB,Iqaluit,Iqaluit,Canada,63.75639,-68.555832
YFC,Fredericton,Fredericton,Canada,45.868889,-66.537222
,Forestville,Forestville,Canada,48.746111,-69.097222
YFO,Flin Flon,Flin Flon,Canada,54.678055,-101.681667
YFR,Fort Resolution,Fort Resolution,Canada,61.180832,-113.689722
YFS,Fort Simpson,Fort Simpson,Canada,61.760153,-121.236525
YGK,Kingston,Kingston,Canada,44.225277,-76.596944
YGL,La Grande Riviere,La Grande Riviere,Canada,53.625278,-77.704167
YGP,Gaspe,Gaspe,Canada,48.775278,-64.478611
YGQ,Geraldton Greenstone Regional,Geraldton,Canada,49.778332,-86.939445
YGR,Iles De La Madeleine,Iles De La Madeleine,Canada,47.424721,-61.778056
YHB,Hudson Bay,Hudson Bay,Canada,52.816666,-102.31139
YHD,Dryden Rgnl,Dryden,Canada,49.831667,-92.744167
YHI,Ulukhaktok Holman,Holman Island,Canada,70.762778,-117.806111
YHK,Gjoa Haven,Gjoa Haven,Canada,68.635556,-95.849722
YHM,Hamilton,Hamilton,Canada,43.173611,-79.935
YHU,St Hubert,Montreal,Canada,45.5175,-73.416944
YHY,Hay River,Hay River,Canada,60.839722,-115.782778
YHZ,Halifax Intl,Halifax,Canada,44.880833,-63.50861
YIB,Atikokan Muni,Atikokan,Canada,48.773888,-91.638611
YIO,Pond Inlet,Pond Inlet,Canada,72.683334,-77.966667
YJN,St Jean,St. Jean,Canada,45.294445,-73.281111
YJT,Stephenville,Stephenville,Canada,48.544167,-58.549999
YKA,Kamloops,Kamloops,Canada,50.702222,-120.444444
YKF,Waterloo,Waterloo,Canada,43.460833,-80.378611
YKL,Schefferville,Schefferville,Canada,54.805278,-66.805278
YKY,Kindersley,Kindersley,Canada,51.5175,-109.180833
YKZ,Buttonville Muni,Toronto,Canada,43.862221,-79.37
YLD,Chapleau,Chapleau,Canada,47.82,-83.346667
YLJ,Meadow Lake,Meadow Lake,Canada,54.125278,-108.522778
YLL,Lloydminster,Lloydminster,Canada,53.309166,-110.0725
YLT,Alert,Alert,Canada,82.517778,-62.280556
YLW,Kelowna,Kelowna,Canada,49.956112,-119.377778
YMA,Mayo,Mayo,Canada,63.616389,-135.868333
YMJ,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,50.330278,-105.559167
YMM,Fort Mcmurray,Fort Mcmurray,Canada,56.653333,-111.221944
YMO,Moosonee,Moosonee,Canada,51.291111,-80.607778
YMW,Maniwaki,Maniwaki,Canada,46.272778,-75.990556
YMX,Montreal Intl Mirabel,Montreal,Canada,45.681944,-74.005278
YNA,Natashquan,Natashquan,Canada,50.19,-61.789167
YND,Gatineau,Gatineau,Canada,45.521694,-75.563589
YNM,Matagami,Matagami,Canada,49.761667,-77.802778
