code_depart,code_arrive,passengers
MSP,LAN,4592
JFK,ATL,18045
GDL,MDW,3982
SXM,EWR,3349
TUS,DEN,12848
MID,IAH,3300
ZRH,LAX,5195
GSO,DFW,3351
LIM,JFK,6214
PSE,JFK,3213
DCA,YYZ,2506
HNL,NGO,11812
IAH,OAX,1218
MIA,LAX,47008
SBA,SFO,5578
JFK,CAI,4904
AZA,MSO,1244
MEM,ORD,7072
HAV,TPA,2515
DCA,IND,7736
MCI,DAL,25360
OSL,JFK,4750
YUM,LAX,1503
PWM,CLT,3632
MXP,JFK,14014
ATL,TRI,6862
SJC,DEN,14857
MKE,PHL,4870
CRW,DCA,1315
PDX,EWR,4414
LGB,PHX,9934
SFO,AKL,10793
FWA,DFW,2528
ILM,PHL,1851
MCO,ACY,8986
YVR,PDX,6888
ATL,BHM,22897
IAH,VSA,1415
CMH,PHL,8789
STL,MIA,8514
SYR,EWR,3671
RNO,SLC,8555
SFO,JFK,80099
CHS,MIA,2159
SAN,RNO,4795
YVR,LAX,31453
DFW,YUL,3349
LAS,COS,1257
SDF,ORD,9026
DFW,BMI,2198
MAN,ATL,4164
ANC,OME,1362
BDL,IAD,5193
RDU,PHL,12932
MEX,EWR,6628
DFW,LIR,2751
PIE,GSP,1985
AUA,CLT,5406
PHL,RDU,13853
EWR,BFS,2306
LBE,FLL,3806
ATL,NRT,10128
PEK,IAH,4561
BDL,SJU,5499
BSB,MIA,7719
TPA,PVD,7218
PIA,DFW,3273
ATL,IND,33571
IAH,AEX,2229
SLC,MFR,1978
CUN,MCI,2320
SLC,CLT,8644
MDW,MCO,22976
YNG,PIE,1526
SEA,PUW,3712
ATL,GDL,3766
DFW,QRO,2639
ISP,TPA,4461
ORD,SYR,6974
JFK,TXL,3730
DCA,IAH,18085
HNL,JFK,7404
HNL,PPT,1054
MSP,MZT,2653
ORD,BUF,10967
MCO,ISP,10176
DFW,ASE,1215
FLL,PBG,7207
ORH,FLL,2512
ORD,DCA,37581
PIE,FWA,2337
JFK,SMF,2033
MCO,BMI,1035
RDM,SEA,5040
YKM,SEA,5044
LHR,LAX,51709
BWI,ABQ,4124
DAL,ATL,3894
MDW,DEN,33132
COS,IAH,4151
EWR,SNN,3165
BOS,MYR,3146
DFW,GSO,3444
MSP,ZIH,2925
LAX,MCI,8901
YOW,MCO,4598
JFK,GEO,3560
CRP,HOU,7869
AMA,DEN,7480
KIN,MIA,11702
RSW,CAK,3749
CAK,RSW,3937
HOU,RDU,3649
ORD,DSM,13603
CLT,SLC,8686
MDT,MCO,1386
TPE,JFK,5948
MSP,BIS,7883
CHO,PHL,1761
SLC,COS,2257
BGM,IAD,1633
LGA,DFW,53375
LIR,MSP,1619
POS,IAH,4349
RDU,ATL,46234
JFK,PLS,4522
SFO,EUG,7604
MIA,GND,3327
MSP,SAT,5768
EWR,RSW,14577
MSP,MBJ,1856
SAT,BWI,6092
DFW,MAF,7440
DEN,YMM,1218
DAL,IAH,6240
ORD,DUS,5508
XNA,LAS,1358
IAD,RUH,1785
IAD,SEA,8619
CLT,MIA,34441
DEN,PHL,22759
ATL,TYS,13166
ATL,EWN,1992
PBI,BOS,14969
BWI,PWM,5964
ABQ,MDW,4510
RNO,ORD,3152
PIT,RSW,4039
MSY,BNA,10514
HNL,ITO,46646
RIC,PHL,6136
HOU,ABQ,8694
TPA,RDU,8910
MIA,LAS,16867
BUR,PHX,25110
YOW,CLT,1358
PAP,FLL,16513
DSM,ATL,7257
MCO,PSE,5099
CLT,BUF,12164
HNL,EWR,6863
MSP,ISN,3573
EUG,OAK,1320
YYZ,PIT,1705
SNA,SLC,11422
ORD,DAY,9917
BHM,DAL,8324
BDL,PIT,2179
ORD,YKF,1328
JFK,AMM,2760
TPA,PNS,1185
FLL,EWR,41245
MAN,PHL,5385
